bit,codigo,equipo,orden_album,slot,jugador_tipo,tier,pagina
317,AUS18,Australia,15,18,Kusini Yengi,base,36-37
318,AUS19,Australia,15,19,Nestory Irankunda,base,36-37
319,AUS20,Australia,15,20,Mohamed Touré,base,36-37
320,TUR1,Turquia,16,1,Escudo (foil),T2,38-39
321,TUR2,Turquia,16,2,Uğurcan Çakır,base,38-39
322,TUR3,Turquia,16,3,Mert Müldür,base,38-39
323,TUR4,Turquia,16,4,Zeki Çelik,base,38-39
324,TUR5,Turquia,16,5,Abdülkerim Bardakcı,base,38-39
325,TUR6,Turquia,16,6,Çağlar Söyüncü,base,38-39
326,TUR7,Turquia,16,7,Merih Demiral,base,38-39
327,TUR8,Turquia,16,8,Ferdi Kadıoğlu,base,38-39
328,TUR9,Turquia,16,9,Kaan Ayhan,base,38-39
329,TUR10,Turquia,16,10,İsmail Yüksek,base,38-39
330,TUR11,Turquia,16,11,Hakan Çalhanoğlu,base,38-39
331,TUR12,Turquia,16,12,Orkun Kökçü,base,38-39
332,TUR13,Turquia,16,13,Foto equipo,base,38-39
333,TUR14,Turquia,16,14,Arda Güler,base,38-39
334,TUR15,Turquia,16,15,İrfan Can Kahveci,base,38-39
335,TUR16,Turquia,16,16,Yunus Akgün,base,38-39
336,TUR17,Turquia,16,17,Can Uzun,base,38-39
337,TUR18,Turquia,16,18,Barış Alper Yılmaz,base,38-39
338,TUR19,Turquia,16,19,Kerem Aktürkoğlu,base,38-39
339,TUR20,Turquia,16,20,Kenan Yıldız,base,38-39
340,GER1,Alemania,17,1,Escudo (foil),T2,40-41
341,GER2,Alemania,17,2,Marc-André ter Stegen,base,40-41
342,GER3,Alemania,17,3,Jonathan Tah,base,40-41
343,GER4,Alemania,17,4,David Raum,base,40-41
344,GER5,Alemania,17,5,Nico Schlotterbeck,base,40-41
345,GER6,Alemania,17,6,Antonio Rüdiger,base,40-41
346,GER7,Alemania,17,7,Waldemar Anton,base,40-41
347,GER8,Alemania,17,8,Ridle Baku,base,40-41
348,GER9,Alemania,17,9,Maximilian Mittelstädt,base,40-41
349,GER10,Alemania,17,10,Joshua Kimmich,base,40-41
350,GER11,Alemania,17,11,Florian Wirtz,base,40-41
351,GER12,Alemania,17,12,Felix Nmecha,base,40-41
352,GER13,Alemania,17,13,Foto equipo,base,40-41
353,GER14,Alemania,17,14,Leon Goretzka,base,40-41
354,GER15,Alemania,17,15,Jamal Musiala,T3,40-41
355,GER16,Alemania,17,16,Serge Gnabry,base,40-41
356,GER17,Alemania,17,17,Kai Havertz,base,40-41
357,GER18,Alemania,17,18,Leroy Sané,base,40-41
358,GER19,Alemania,17,19,Karim Adeyemi,base,40-41
359,GER20,Alemania,17,20,Nick Woltemade,base,40-41
360,CUW1,Curazao,18,1,Escudo (foil),T2,42-43
361,CUW2,Curazao,18,2,Eloy Room,base,42-43
362,CUW3,Curazao,18,3,Armando Obispo,base,42-43
363,CUW4,Curazao,18,4,Sherel Floranus,base,42-43
364,CUW5,Curazao,18,5,Jurien Gaari,base,42-43
365,CUW6,Curazao,18,6,Joshua Brenet,base,42-43
366,CUW7,Curazao,18,7,Roshon van Eijma,base,42-43
367,CUW8,Curazao,18,8,Shurandy Sambo,base,42-43
368,CUW9,Curazao,18,9,Livano Comenencia,base,42-43
369,CUW10,Curazao,18,10,Godfried Roemeratoe,base,42-43
370,CUW11,Curazao,18,11,Juninho Bacuna,base,42-43
371,CUW12,Curazao,18,12,Leandro Bacuna,base,42-43
372,CUW13,Curazao,18,13,Foto equipo,base,42-43
373,CUW14,Curazao,18,14,Tahith Chong,base,42-43
374,CUW15,Curazao,18,15,Kenji Gorre,base,42-43
375,CUW16,Curazao,18,16,Jearl Margaritha,base,42-43
376,CUW17,Curazao,18,17,Jurgen Locadia,base,42-43
377,CUW18,Curazao,18,18,Jeremy Antonisse,base,42-43
378,CUW19,Curazao,18,19,Gervane Kastaneer,base,42-43
379,CUW20,Curazao,18,20,Sontje Hansen,base,42-43
380,CIV1,Costa de Marfil,19,1,Escudo (foil),T2,44-45
381,CIV2,Costa de Marfil,19,2,Yahia Fofana,base,44-45
382,CIV3,Costa de Marfil,19,3,Ghislain Konan,base,44-45
383,CIV4,Costa de Marfil,19,4,Wilfried Singo,base,44-45
384,CIV5,Costa de Marfil,19,5,Odilon Kossounou,base,44-45
385,CIV6,Costa de Marfil,19,6,Evan Ndicka,base,44-45
386,CIV7,Costa de Marfil,19,7,Willy Boly,base,44-45
387,CIV8,Costa de Marfil,19,8,Emmanuel Agbadou,base,44-45
388,CIV9,Costa de Marfil,19,9,Ousmane Diomandé,base,44-45
389,CIV10,Costa de Marfil,19,10,Franck Kessié,base,44-45
390,CIV11,Costa de Marfil,19,11,Seko Fofana,base,44-45
391,CIV12,Costa de Marfil,19,12,Ibrahim Sangaré,base,44-45
392,CIV13,Costa de Marfil,19,13,Foto equipo,base,44-45
393,CIV14,Costa de Marfil,19,14,Jean-Philippe Gbamin,base,44-45
394,CIV15,Costa de Marfil,19,15,Amad Diallo,base,44-45
395,CIV16,Costa de Marfil,19,16,Sébastien Haller,base,44-45
396,CIV17,Costa de Marfil,19,17,Simon Adingra,base,44-45
397,CIV18,Costa de Marfil,19,18,Yan Diomandé,base,44-45
398,CIV19,Costa de Marfil,19,19,Evann Guessand,base,44-45
399,CIV20,Costa de Marfil,19,20,Oumar Diakité,base,44-45
400,ECU1,Ecuador,20,1,Escudo (foil),T2,46-47
401,ECU2,Ecuador,20,2,Hernán Galíndez,base,46-47
402,ECU3,Ecuador,20,3,Gonzalo Valle,base,46-47
403,ECU4,Ecuador,20,4,Piero Hincapié,base,46-47
404,ECU5,Ecuador,20,5,Pervis Estupiñán,base,46-47
405,ECU6,Ecuador,20,6,Willian Pacho,base,46-47
406,ECU7,Ecuador,20,7,Ángelo Preciado,base,46-47
407,ECU8,Ecuador,20,8,Joel Ordóñez,base,46-47
408,ECU9,Ecuador,20,9,Moisés Caicedo,base,46-47
409,ECU10,Ecuador,20,10,Alan Franco,base,46-47
410,ECU11,Ecuador,20,11,Kendry Páez,base,46-47
411,ECU12,Ecuador,20,12,Pedro Vite,base,46-47
